twitt_id; date; user_id; user_name; text; lat; lng
354379762522783744; "Mon Jul 08 232134 0000 2013"; 14118313; "Doug Littlejohn"; "Power is on and basement is dry  #TOstorm   #fb"; 43.73930735; -79.75104948
354379781447495680; "Mon Jul 08 232138 0000 2013"; 114438938; "Anshel Mark"; "Heres Queens Park Subway Station for you right now. #Toronto #Flood #Dirty #Smelly #Underground #TTC http//t.co/YVNYuze5AO"; 43.65979989; -79.390769
354379780688322562; "Mon Jul 08 232138 0000 2013"; 17479878; "Jess Morton"; "#stormTO is trending on Twitter! Oh Canada."; 43.74930222; -79.46219094
354379879766171652; "Mon Jul 08 232202 0000 2013"; 359409916; "Sarah Qidwai"; "Im in class and apparently its flooded outside. #todot #flood"; 43.66191949; -79.39534648
354379902583185410; "Mon Jul 08 232207 0000 2013"; 199794033; "Vanilla Lifts"; "kissykrissyxox we are essentially flooded in Toronto....and have no power. I feel you"; 43.68795425; -79.42167144
354379929942626305; "Mon Jul 08 232214 0000 2013"; 241357014; "noah d"; "Toronto is like flooded right now OMG this happened so fast"; 43.82678204; -79.55639837
354380177855356928; "Mon Jul 08 232313 0000 2013"; 484975728; "S"; "Flooding everywhere, never seen so much water, ppls houses r gettin flooded damnn."; 43.57021911; -79.69407783
354380199778979840; "Mon Jul 08 232318 0000 2013"; 49238559; "Trevor Barry"; "Hey #TORONTO Friends   are you experiencing #FLOODING right now??  #torontoflood  #yyz #climatechange"; 48.44184113; -123.37813618
354380374194913280; "Mon Jul 08 232359 0000 2013"; 19567388; "Melissa Anderson"; "CinnamonCloud this is near me RTbeerboozebites Holy crap  SERIOUS flood at King St West http//t.co/unOQwckPmK"; 43.6367025; -79.4107662
354380469573390336; "Mon Jul 08 232422 0000 2013"; 43129834; "Monika MacMillan"; "Power is back on in downtown TO! #stormTO"; 43.60408674; -79.60377164
354380496530190336; "Mon Jul 08 232429 0000 2013"; 70065855; "Jaspal Sangha"; "Is the Stanley Cup safe?!? HockeyHallFame #StormTO"; 43.7292999; -79.4496741
354380550808678400; "Mon Jul 08 232442 0000 2013"; 317215845; "Radio Nation"; "Sometimes you just gotta deal with it by driving full speed ahead into it!! #stormTO http//t.co/epjcYKs1rB"; 43.6597857; -79.33690901
354380678890127360; "Mon Jul 08 232512 0000 2013"; 623003; "Jordan Christensen"; "The King / Atlantic underpass. Cops say 6 cars trapped.  #stormTO http//t.co/0vBCQXttqv"; 43.64286686; -79.41458006
354380833504772098; "Mon Jul 08 232549 0000 2013"; 253090802; "nicola peragine"; "highlight of my walk home enjoying the sights of those in whites. #stormTO"; 43.64276621; -79.3931441
354380904635973633; "Mon Jul 08 232606 0000 2013"; 463488179; "Jasmine Karpinski"; "mkathleenwilson its a good thing we didnt go ride tonight all I have to say #poweroutage #flood #thissucks"; 43.65220606; -79.52030713
354381118109265920; "Mon Jul 08 232657 0000 2013"; 15979327; "Rayyan Faris"; "Oh well were stuck #stormTO"; 43.71938979; -79.44474053
354381152133464064; "Mon Jul 08 232705 0000 2013"; 840809827; "TreeshaLiu"; "ayeeitsmichiie LOOOLL Im like freakin out I dun wanna come home to a flood and have to clean it all by myself"; 44.63810464; -63.59567703
354381237261041665; "Mon Jul 08 232725 0000 2013"; 216831431; "Angelo"; "I was one of the lucky guys stuck on the humid subway then had to walk in the underground path with no lights on and flood up to my ankles."; 43.7658861; -79.150024
354381408422211584; "Mon Jul 08 232806 0000 2013"; 1116052914; "kelly"; "ElenaLappo So my hubby is stuck in a bus at 427 and burnhamthorpe....cars flooded to the roofs http//t.co/1NKhhFjspf #crazy"; 44.3511369; -78.43968426
354381607244808192; "Mon Jul 08 232853 0000 2013"; 124020817; "prod.byM"; "I really hope the gym doesnt get flooded tonight."; 43.70299847; -79.78082736
354381611258740737; "Mon Jul 08 232854 0000 2013"; 623003; "Jordan Christensen"; "Power back on in Trinity Niagara #stormTO http//t.co/0GHRPE1gXh"; 43.64292474; -79.41460873
354381778502434816; "Mon Jul 08 232934 0000 2013"; 21219417; "Zack"; "In the craziest cab ever. Just lucky to be in a cab. #StormTO"; 43.67587753; -79.36025966
354381825352798208; "Mon Jul 08 232945 0000 2013"; 26701992; "Morgan Cameron Ross"; "#toronto #flood #dogs #bellwoods  Trinity Bellwoods Park http//t.co/0oUxwAiw9U"; 43.64796975; -79.4142437
354381858500382720; "Mon Jul 08 232953 0000 2013"; 52065949; "Shubham Datta"; "Watch live as #stormTO unfolds http//t.co/QZruMy3wor #stormwatch"; 43.69798672; -79.50692877
354381962057744384; "Mon Jul 08 233018 0000 2013"; 44826155; "Bryant Balatbat"; "Im taking bets on what time Ill probably get home. Still stuck at union station. #stormTO"; 43.63930301; -79.38053072
354381981812924418; "Mon Jul 08 233023 0000 2013"; 357856127; "Janessa Friesen"; "Stay safe and dry mon amigos!  MarcDFowler LeikeyDesigns   #stormTO #flooding #yikes"; 43.3818954; -79.76846313
354382051048304640; "Mon Jul 08 233039 0000 2013"; 55152818; "Sunny"; "The awkward moment when a tow truck needs a tow... #TOstorm"; 43.7809547; -79.68840094
354382728575213568; "Mon Jul 08 233321 0000 2013"; 14184164; "karthicramesh"; "Toronto Flood. http//t.co/Cqnl0Cvs1E"; 43.63866006; -79.43198854
354382896812933120; "Mon Jul 08 233401 0000 2013"; 137496524; ""; "LilMissTwiggy lol theres a flood outside my house... its rainin buckets no power and my phone is bout to die"; 43.5880505; -79.689245
354383000416419841; "Mon Jul 08 233426 0000 2013"; 206433627; "Nelly"; "Everywhere is flooded lol."; 43.6958731; -79.8149578
354383036101570561; "Mon Jul 08 233434 0000 2013"; 274296498; "Emily Ching"; "I disagree, MoTheCanadian Ppl love to see Toronto in pain  how did YYZ react to ice storms? YYc flood? Better than this. beisan is right"; 50.46773671; -104.65396081
354383274208018432; "Mon Jul 08 233531 0000 2013"; 55152818; "Sunny"; "Turning all my lights and electronics off because I want to fit in. #TOstorm"; 43.78103635; -79.6877649
354383273146843137; "Mon Jul 08 233531 0000 2013"; 14184164; "karthicramesh"; "Flood water at king street and Atlantic!!. #torontoflood #kingstreetwest http//t.co/7lhEqthPbM"; 43.63864182; -79.43195945
